货架ID,游戏货币,额外赠送游戏货币,平台类型,平台币价格,人民币价格,商品名称,运营商ID,中心图标,赠送图标,价格图标,对应的实际货币价格,是否为月卡,礼包对应id
24928,0,0,249,28,28,王候回归礼包,28,null,null,28,28,0,18
24929,0,0,249,28,28,霸主回归礼包,29,null,null,28,28,0,19
24930,0,0,249,28,28,君王回归礼包,30,null,null,28,28,0,20
24931,0,0,249,28,28,帝王回归礼包,31,null,null,28,28,0,21
24936,0,0,249,38,38,团购礼包,36,null,null,28,28,0,22
25008,300,0,250,3000,30,30元至尊礼包,8,null,null,null,30,1,
25009,500,0,250,5000,50,50元至尊礼包,9,null,null,50,50,1,
25010,880,0,250,8800,88,88元至尊礼包,10,null,null,88,88,1,
25007,10120,1320,250,88000,880,8800钻石,7,Common/ResouceIcon/Big/icon_big_diamond_part1_Tex,Present7,880,880,0,
25006,7590,990,250,66000,660,6600钻石,6,Common/ResouceIcon/Big/icon_big_diamond_part2_Tex,Present5,660,660,0,
25001,60,0,250,600,6,60钻石,1,Common/ResouceIcon/Big/icon_big_diamond_part5_Tex,null,6,6,0,
25005,3300,300,250,30000,300,3000钻石,5,Common/ResouceIcon/Big/icon_big_diamond_part3_Tex,Present2,300,300,0,
25004,1050,50,250,10000,100,1000钻石,4,Common/ResouceIcon/Big/icon_big_diamond_part3_Tex,Present6,100,100,0,
25003,500,0,250,5000,50,500钻石,3,Common/ResouceIcon/Big/icon_big_diamond_part4_Tex,null,50,50,0,
25002,300,0,250,3000,30,300钻石,2,Common/ResouceIcon/Big/icon_big_diamond_part4_Tex,null,30,30,0,
25011,0,0,250,600,6,每日优惠礼包,11,null,null,6,6,0,1
25012,0,0,250,1800,18,每日福利礼包,12,null,null,18,18,0,2
25013,0,0,250,3000,30,春节礼包,13,null,null,30,30,0,3
25014,0,0,250,3000,30,元宵礼包,14,null,null,30,30,0,4
25015,0,0,250,3000,30,女将礼包,15,null,null,30,30,0,5
25016,0,0,250,3800,38,暖冬礼包,16,null,null,38,38,0,6
25017,0,0,250,3000,30,国庆礼包,17,null,null,30,30,0,7
25018,0,0,250,800,8,壮士礼包,18,null,null,8,8,0,8
25019,0,0,250,2800,28,豪杰礼包,19,null,null,28,28,0,9
25020,0,0,250,6000,60,诸侯礼包,20,null,null,60,60,0,10
25021,0,0,250,12800,128,王候礼包,21,null,null,128,128,0,11
25022,0,0,250,19800,198,霸主礼包,22,null,null,198,198,0,12
25023,0,0,250,32800,328,君王礼包,23,null,null,328,328,0,13
25024,0,0,250,38800,388,帝王礼包,24,null,null,388,388,0,14
25025,0,0,250,2800,28,觉醒礼包,25,null,null,28,28,0,15
25026,0,0,250,2800,28,堕天礼包,26,null,null,28,28,0,16
25027,0,0,250,2800,28,诸侯回归礼包,27,null,null,28,28,0,17
25028,0,0,250,2800,28,王候回归礼包,28,null,null,28,28,0,18
25029,0,0,250,2800,28,霸主回归礼包,29,null,null,28,28,0,19
25030,0,0,250,2800,28,君王回归礼包,30,null,null,28,28,0,20
25031,0,0,250,2800,28,帝王回归礼包,31,null,null,28,28,0,21
25036,0,0,250,3800,38,团购礼包,36,null,null,28,28,0,22
